Date;cac40_price
01/03/2025;7311.83
01/02/2025;7393.76
12/31/2024;7380.74
12/30/2024;7313.56
12/27/2024;7355.37
12/24/2024;7282.69
12/23/2024;7272.32
12/20/2024;7274.48
12/19/2024;7294.37
12/18/2024;7384.62
12/17/2024;7365.70
12/16/2024;7357.08
12/13/2024;7409.57
12/12/2024;7420.94
12/11/2024;7423.40
12/10/2024;7394.78
12/09/2024;7480.14
12/06/2024;7426.88
12/05/2024;7330.54
12/04/2024;7303.28
12/03/2024;7255.42
12/02/2024;7236.89
11/29/2024;7235.11
11/28/2024;7179.25
11/27/2024;7143.03
11/26/2024;7194.51
11/25/2024;7257.47
11/22/2024;7255.01
11/21/2024;7213.32
11/20/2024;7198.45
11/19/2024;7229.64
11/18/2024;7278.23
11/15/2024;7269.63
11/14/2024;7311.80
11/13/2024;7216.83
11/12/2024;7226.98
11/11/2024;7426.88
11/08/2024;7338.67
11/07/2024;7425.60
11/06/2024;7369.61
11/05/2024;7407.15
11/04/2024;7371.71
11/01/2024;7409.11
10/31/2024;7350.37
10/30/2024;7428.36
10/29/2024;7511.11
10/28/2024;7556.94
10/25/2024;7497.54
10/24/2024;7503.28
10/23/2024;7497.48
10/22/2024;7535.10
10/21/2024;7536.23
10/18/2024;7613.05
10/17/2024;7583.73
10/16/2024;7492.00
10/15/2024;7521.97
10/14/2024;7602.06
10/11/2024;7577.89
10/10/2024;7541.59
10/09/2024;7560.09
10/08/2024;7521.32
10/07/2024;7576.02
10/04/2024;7541.36
10/03/2024;7477.78
10/02/2024;7577.59
10/01/2024;7574.07
09/30/2024;7635.75
09/27/2024;7791.79
09/26/2024;7742.09
09/25/2024;7565.62
09/24/2024;7604.01
09/23/2024;7508.08
09/20/2024;7500.26
09/19/2024;7615.41
09/18/2024;7444.90
09/17/2024;7487.42
09/16/2024;7449.44
09/13/2024;7465.25
09/12/2024;7435.07
09/11/2024;7396.83
09/10/2024;7407.55
09/09/2024;7425.26
09/06/2024;7352.30
09/05/2024;7431.96
09/04/2024;7500.97
09/03/2024;7575.10
09/02/2024;7646.42
08/30/2024;7630.95
08/29/2024;7640.95
08/28/2024;7577.67
08/27/2024;7565.78
08/26/2024;7590.37
08/23/2024;7577.04
08/22/2024;7524.11
08/21/2024;7524.72
08/20/2024;7485.73
08/19/2024;7502.01
08/16/2024;7449.70
08/15/2024;7423.37
08/14/2024;7333.36
08/13/2024;7275.87
08/12/2024;7250.67
08/09/2024;7269.71
08/08/2024;7247.45
08/07/2024;7266.01
08/06/2024;7130.04
08/05/2024;7148.99
08/02/2024;7251.80
08/01/2024;7370.45
07/31/2024;7531.49
07/30/2024;7474.94
07/29/2024;7443.84
07/26/2024;7517.68
07/25/2024;7427.02
07/24/2024;7513.73
07/23/2024;7598.63
07/22/2024;7622.02
07/19/2024;7534.52
07/18/2024;7586.55
07/17/2024;7570.81
07/16/2024;7580.03
07/15/2024;7632.71
07/12/2024;7724.32
07/11/2024;7627.13
07/10/2024;7573.55
07/09/2024;7508.66
07/08/2024;7627.45
07/05/2024;7675.62
07/04/2024;7695.78
07/03/2024;7632.08
07/02/2024;7538.29
07/01/2024;7561.13
06/28/2024;7479.40
06/27/2024;7530.72
06/26/2024;7609.15
06/25/2024;7662.30
06/24/2024;7706.89
06/21/2024;7628.57
06/20/2024;7671.34
06/19/2024;7570.20
06/18/2024;7628.80
06/17/2024;7571.57
06/14/2024;7503.27
06/13/2024;7708.02
06/12/2024;7864.70
06/11/2024;7789.21
06/10/2024;7893.98
06/07/2024;8001.80
06/06/2024;8040.12
06/05/2024;8006.57
06/04/2024;7937.90
06/03/2024;7998.02
05/31/2024;7992.87
05/30/2024;7978.51
05/29/2024;7935.03
05/28/2024;8057.80
05/27/2024;8132.49
05/24/2024;8094.97
05/23/2024;8102.33
05/22/2024;8092.11
05/21/2024;8141.46
05/20/2024;8195.97
05/17/2024;8167.50
05/16/2024;8188.49
05/15/2024;8239.99
05/14/2024;8225.80
05/13/2024;8209.28
05/10/2024;8219.14
05/09/2024;8187.65
05/08/2024;8131.41
05/07/2024;8075.68
05/06/2024;7996.64
05/03/2024;7957.57
05/02/2024;7914.65
04/30/2024;7984.93
04/29/2024;8065.15
04/26/2024;8088.24
04/25/2024;8016.65
04/24/2024;8091.86
04/23/2024;8105.78
04/22/2024;8040.36
04/19/2024;8022.41
04/18/2024;8023.26
04/17/2024;7981.51
04/16/2024;7932.61
04/15/2024;8045.11
04/12/2024;8010.83
04/11/2024;8023.74
04/10/2024;8045.38
04/09/2024;8049.17
04/08/2024;8119.30
04/05/2024;8061.31
04/04/2024;8151.55
04/03/2024;8153.23
04/02/2024;8130.05
03/28/2024;8205.81
03/27/2024;8204.81
03/26/2024;8184.75
03/25/2024;8151.60
03/22/2024;8151.92
03/21/2024;8179.72
03/20/2024;8161.41
03/19/2024;8201.05
03/18/2024;8148.14
03/15/2024;8164.35
03/14/2024;8161.42
03/13/2024;8137.58
03/12/2024;8087.48
03/11/2024;8019.73
03/08/2024;8028.01
03/07/2024;8016.22
03/06/2024;7954.74
03/05/2024;7932.82
03/04/2024;7956.41
03/01/2024;7934.17
02/29/2024;7927.43
02/28/2024;7954.39
02/27/2024;7948.40
02/26/2024;7929.82
02/23/2024;7966.68
02/22/2024;7911.60
02/21/2024;7812.09
02/20/2024;7795.22
02/19/2024;7768.55
02/16/2024;7768.18
02/15/2024;7743.42
02/14/2024;7677.35
02/13/2024;7625.31
02/12/2024;7689.80
02/09/2024;7647.52
02/08/2024;7665.63
02/07/2024;7611.26
02/06/2024;7638.97
02/05/2024;7589.96
02/02/2024;7592.26
02/01/2024;7588.75
01/31/2024;7656.75
01/30/2024;7677.47
01/29/2024;7640.81
01/26/2024;7634.14
01/25/2024;7464.20
01/24/2024;7455.64
01/23/2024;7388.04
01/22/2024;7413.25
01/19/2024;7371.64
01/18/2024;7401.35
01/17/2024;7318.69
01/16/2024;7398.00
01/15/2024;7411.68
01/12/2024;7465.14
01/11/2024;7387.62
01/10/2024;7426.08
01/09/2024;7426.62
01/08/2024;7450.24
01/05/2024;7420.69
01/04/2024;7450.63
01/03/2024;7411.86
01/02/2024;7530.86
12/29/2023;7543.18
12/28/2023;7535.16
12/27/2023;7571.82
12/22/2023;7568.82
12/21/2023;7571.40
12/20/2023;7583.43
12/19/2023;7574.67
12/18/2023;7568.86
12/15/2023;7596.91
12/14/2023;7575.85
12/13/2023;7531.22
12/12/2023;7543.55
12/11/2023;7551.53
12/08/2023;7526.55
12/07/2023;7428.52
12/06/2023;7435.99
12/05/2023;7386.99
12/04/2023;7332.59
12/01/2023;7346.15
11/30/2023;7310.77
11/29/2023;7267.64
11/28/2023;7250.13
11/27/2023;7265.49
11/24/2023;7292.80
11/23/2023;7277.93
