Date;urw_price
03/01/2025;73,54
02/01/2025;73,26
31/12/2024;71,82
30/12/2024;72,24
27/12/2024;72,28
24/12/2024;71,68
23/12/2024;71,4
20/12/2024;70,2
19/12/2024;71,18
18/12/2024;72,72
17/12/2024;72,2
16/12/2024;73,8
13/12/2024;73,84
12/12/2024;73,9
11/12/2024;73,9
10/12/2024;75,3
09/12/2024;78
06/12/2024;77,5
05/12/2024;76,34
04/12/2024;75,74
03/12/2024;75,02
02/12/2024;76,72
29/11/2024;77,22
28/11/2024;77
27/11/2024;76,54
26/11/2024;76,8
25/11/2024;78,26
22/11/2024;75,54
21/11/2024;75,14
20/11/2024;74,46
19/11/2024;73,94
18/11/2024;74,28
15/11/2024;73,58
14/11/2024;72,52
13/11/2024;72,24
12/11/2024;73,32
11/11/2024;74,34
08/11/2024;72,9
07/11/2024;72,76
06/11/2024;75
05/11/2024;74,66
04/11/2024;75,16
01/11/2024;74,48
31/10/2024;74,96
30/10/2024;76,5
29/10/2024;78,22
28/10/2024;77,54
25/10/2024;77,36
24/10/2024;77,04
23/10/2024;76,34
22/10/2024;77,06
21/10/2024;78,6
18/10/2024;77,42
17/10/2024;78,54
16/10/2024;77,96
15/10/2024;77,16
14/10/2024;76,4
11/10/2024;74,94
10/10/2024;75,88
09/10/2024;74,76
08/10/2024;74,5
07/10/2024;76,74
04/10/2024;75,36
03/10/2024;76,22
02/10/2024;78,32
01/10/2024;78,96
30/09/2024;78,56
27/09/2024;78,76
26/09/2024;78,08
25/09/2024;76,54
24/09/2024;76,84
23/09/2024;76,24
20/09/2024;76,02
19/09/2024;77,6
18/09/2024;77,82
17/09/2024;77,58
16/09/2024;76,44
13/09/2024;75,86
12/09/2024;76,26
11/09/2024;76,04
10/09/2024;75,3
09/09/2024;76
06/09/2024;74,72
05/09/2024;72,64
04/09/2024;72,02
03/09/2024;73,78
02/09/2024;72,42
30/08/2024;71,66
29/08/2024;72,22
28/08/2024;72,52
27/08/2024;72,52
26/08/2024;71,82
23/08/2024;71
22/08/2024;71,14
21/08/2024;69,16
20/08/2024;68,84
19/08/2024;67,94
16/08/2024;68,02
15/08/2024;67,56
14/08/2024;67,4
13/08/2024;66,68
12/08/2024;67,06
09/08/2024;66,34
08/08/2024;66,22
07/08/2024;67,12
06/08/2024;66,12
05/08/2024;65,5
02/08/2024;68,36
01/08/2024;69,1
31/07/2024;70,12
30/07/2024;68,84
29/07/2024;68,2
26/07/2024;69,24
25/07/2024;70,24
24/07/2024;70,98
23/07/2024;72,88
22/07/2024;73,58
19/07/2024;75,7
